t,x1,y1,z1,x2,y2,z2,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,gameNum,roundNum,difficulty,totalEggs,lhTime,lhCaughtEggs,rhTime,rhCaughtEggs,rhDominant,xScale,yScale,timeScale
2015-01-12 10:25:03.583,-86.76652,94.67269,-1303.145,-55.06152,-101.0004,-1358.726,-232.7592,-205.7748,-1378.917,-230.1011,-406.0943,-1293.573,-222.4832,-532.025,-1182.325,-219.9438,-574.0019,-1147.976,95.24462,-180.0181,-1332.489,146.1483,-347.331,-1253.14,139.6679,-453.5185,-1121.579,137.5078,-488.9143,-1080.46,,,,,,,,,,,,
2015-01-12 10:25:03.730,-85.5533,94.47502,-1303.078,-54.73606,-101.0594,-1359.034,-232.5371,-205.5857,-1378.92,-226.3027,-410.4662,-1285.971,-225.9017,-543.825,-1186.142,-225.768,-588.2779,-1155.608,95.60175,-180.5569,-1332.075,146.2983,-347.6602,-1252.817,139.0637,-453.162,-1122.146,136.6522,-488.3293,-1081.331,,,,,,,,,,,,
2015-01-12 10:25:03.807,-84.96039,94.38668,-1303.063,-54.49186,-101.0362,-1359.213,-232.4032,-205.4496,-1378.861,-226.0043,-405.3694,-1286.985,-226.8356,-534.8985,-1188.138,-202.3547,-544.3246,-1159.262,95.97786,-180.8732,-1331.593,146.2344,-347.7785,-1252.859,138.9824,-450.7547,-1124.907,136.565,-485.0801,-1085.001,,,,,,,,,,,,
2015-01-12 10:25:03.923,-84.44884,94.34058,-1302.974,-54.62736,-101.2302,-1358.856,-232.1221,-205.2638,-1378.559,-230.6653,-405.1184,-1291.837,-210.7596,-522.5076,-1181.794,-181.8081,-524.6303,-1153.457,96.17095,-181.0,-1331.509,146.1562,-347.5848,-1253.014,139.0784,-449.6748,-1126.168,136.7191,-483.7049,-1086.629,,,,,,,,,,,,
2015-01-12 10:25:04.005,-83.81028,94.16341,-1303.053,-54.60842,-101.3437,-1358.985,-231.7249,-205.0408,-1377.885,-228.5528,-405.3987,-1287.028,-220.9649,-530.4904,-1182.469,-194.0907,-541.5833,-1152.817,96.5977,-181.0331,-1331.627,146.1368,-347.5341,-1253.396,138.9485,-450.4506,-1125.412,131.5069,-477.8891,-1095.142,,,,,,,,,,,,
2015-01-12 10:25:04.104,-83.08568,94.13732,-1303.287,-54.78669,-101.8129,-1357.728,-231.4331,-204.8807,-1377.224,-227.0279,-401.1276,-1286.313,-224.7508,-528.2324,-1188.961,-198.4108,-540.3599,-1159.319,96.98435,-180.8124,-1332.083,146.0256,-347.7199,-1253.725,138.8363,-448.6921,-1127.782,131.6315,-476.0115,-1097.429,,,,,,,,,,,,
2015-01-12 10:25:04.184,-82.73222,94.19883,-1303.472,-55.15464,-102.2037,-1357.111,-231.2352,-204.8041,-1376.72,-230.1244,-404.563,-1287.469,-220.5487,-528.9169,-1183.512,-194.8754,-540.7133,-1154.54,97.17426,-180.9289,-1331.906,146.0222,-347.6235,-1253.932,138.7584,-449.9695,-1126.574,136.3371,-484.0847,-1086.862,,,,,,,,,,,,
2015-01-12 10:25:04.262,-82.0975,94.11008,-1303.657,-55.51003,-102.7359,-1356.182,-231.1288,-204.6394,-1376.247,-227.806,-400.7407,-1285.912,-229.2983,-529.3081,-1191.142,-203.4228,-540.8983,-1162.952,97.40652,-180.8539,-1332.149,145.948,-347.8322,-1254.112,138.7379,-448.4334,-1128.206,136.3345,-481.9672,-1088.977,,,,,,,,,,,,
2015-01-12 10:25:04.378,-81.28738,94.21172,-1303.683,-55.54855,-102.7859,-1356.005,-230.9579,-204.7123,-1375.557,-227.0656,-402.6774,-1284.227,-223.831,-530.4068,-1185.551,-198.2924,-542.2401,-1156.955,97.85499,-180.7955,-1332.267,145.9428,-347.9044,-1254.236,138.5948,-449.4401,-1127.087,136.1454,-483.2853,-1087.445,,,,,,,,,,,,
2015-01-12 10:25:04.458,-80.8224,94.48537,-1304.057,-55.4956,-102.7222,-1356.117,-230.8143,-204.5716,-1374.971,-226.8407,-400.3426,-1284.458,-223.2933,-527.539,-1188.048,-197.1897,-538.798,-1158.946,98.02757,-180.615,-1332.391,145.9004,-348.0014,-1254.361,138.5423,-448.2786,-1128.416,136.0896,-481.7044,-1089.174,,,,,,,,,,,,
