Date,Time,Head_x,Head_y,Head_z,Neck_x,Neck_y,Neck_z,LeftShoulder_x,LeftShoulder_y,LeftShoulder_z,LeftElbow_x,LeftElbow_y,LeftElbow_z,LeftWrist_xLeftWrist_y,,LeftWrist_z,LeftHand_x,LeftHand_y,LeftHand_z,RightShoulder_x,RightShoulder_y,RightShoulder_z,RightElbow_x,RightElbow_y,RightElbow_z,RightWrist_x,RightWrist_y,RightWrist_z,RightHand_x,RightHand_y,RightHand_z,,,
2015-01-12,11:32:58.738,-76.8073,254.2673,-1213.229,-53.01477,91.69652,-1286.272,-230.748,28.17363,-1362.841,-262.4288,-173.4083,-1393.161,-209.2517,-326.0541,-1293.464,-191.526,-376.936,-1263.163,36.81756,81.69534,-1230.708,37.72966,2.15704,-991.8687,-26.64,-46.96424,-762.0135,-51.29171,-60.20906,-692.9449,,,
2015-01-12,11:32:58.810,-74.61692,251.718,-1208.693,-51.24882,90.0373,-1283.255,-229.1912,23.52277,-1358.149,-260.7468,-173.6964,-1393.201,-197.2986,-318.4189,-1281.501,-176.1493,-366.6598,-1247.2,38.08347,77.43987,-1228.719,52.1612,-1.211576,-990.1675,-10.98715,-51.26909,-760.3329,-38.55259,-65.38354,-687.1522,,,
2015-01-12,11:32:58.907,-69.18335,246.0654,-1201.012,-46.91438,88.05504,-1278.012,-222.8398,19.05684,-1349.571,-255.8791,-181.1232,-1386.885,-214.5407,-328.6894,-1296.239,-200.7612,-377.8782,-1268.958,43.36375,69.60528,-1223.681,56.83433,-7.114403,-984.6349,47.165,-60.15687,-810.6782,-26.91958,-72.08551,-681.9606,,,
2015-01-12,11:32:59.037,-61.45297,241.4603,-1190.837,-36.59591,84.24432,-1269.621,-218.7498,16.61104,-1342.617,-250.87,-184.9724,-1379.921,-194.4556,-321.3644,-1264.042,-175.6508,-366.8284,-1228.352,49.07944,64.43513,-1217.373,61.19892,-12.40832,-978.5837,29.03894,-51.10606,-803.7122,-17.04487,-79.31633,-675.9181,,,
2015-01-12,11:32:59.123,-57.12634,238.9859,-1186.138,-33.07743,82.15453,-1265.209,-214.7917,16.80409,-1338.035,-247.9143,-187.8658,-1377.012,-206.9417,-334.2216,-1262.881,-193.2842,-383.0068,-1227.776,51.78536,62.30932,-1215.865,62.66169,-14.36249,-977.0938,9.386357,-67.35305,-746.0231,-13.6305,-83.31863,-671.1321,,,
2015-01-12,11:32:59.202,-51.09352,234.8182,-1179.024,-27.77184,78.49706,-1259.999,-210.2313,16.10679,-1331.665,-247.3235,-192.0325,-1376.835,-212.6291,-347.9283,-1300.861,-201.0643,-399.8935,-1278.479,59.20885,58.94952,-1206.964,64.90695,-18.62396,-968.5227,18.12588,-77.62493,-737.7214,-11.54436,-88.65034,-665.2209,,,
2015-01-12,11:32:59.272,-48.67247,234.6611,-1175.148,-24.71523,77.47589,-1255.776,-207.6367,16.63099,-1328.026,-246.2579,-190.6422,-1375.02,-217.2533,-349.66,-1304.119,-207.5851,-402.6659,-1283.429,62.43496,59.52468,-1202.826,66.31867,-19.28771,-964.9207,28.46054,-56.91272,-788.4877,-11.49251,-90.13712,-661.4604,,,
2015-01-12,11:32:59.344,-46.10316,234.0413,-1172.045,-24.95949,53.34629,-1253.772,-204.9012,16.5607,-1324.209,-245.1972,-190.6687,-1373.872,-214.1664,-349.2401,-1303.141,-203.8228,-402.0973,-1282.508,62.81087,59.20692,-1201.105,66.39712,-18.88915,-963.1087,33.4101,-59.26762,-789.2896,-12.21178,-90.71748,-656.0952,,,
2015-01-12,11:32:59.424,-44.24298,232.9055,-1168.101,-25.91188,51.40224,-1247.475,-203.2126,15.08683,-1320.891,-242.7376,-187.9435,-1371.941,-217.3705,-348.2916,-1303.73,-208.9148,-401.741,-1283.938,61.00729,59.17533,-1198.312,63.57671,-14.80973,-959.126,32.57774,-56.24537,-785.3585,-15.09126,-86.21319,-646.851,,,
2015-01-12,11:32:59.514,-43.8513,232.6467,-1166.315,-28.82921,44.73036,-1246.984,-202.5473,15.17729,-1319.227,-241.9034,-186.4843,-1371.209,-216.0666,-350.4127,-1314.417,-207.4543,-405.0555,-1298.432,63.00025,66.4379,-1192.917,53.35262,1.041971,-951.4047,2.630107,-55.3855,-721.5177,-16.94725,-83.05495,-642.7336,,,
