t,x1,y1,z1,x2,y2,z2,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,gameNum,roundNum,difficulty,totalEggs,lhTime,lhCaughtEggs,rhTime,rhCaughtEggs,rhDominant,xScale,yScale,timeScale
2015-01-23 13:05:04.021,41.03848,185.3161,-1477.088,48.84143,0.5447083,-1524.09,-110.9668,-85.812,-1525.629,-145.189,-306.1821,-1458.391,-74.28735,-456.9866,-1340.884,-56.20861,-484.7015,-1266.519,199.1456,-95.44849,-1488.666,210.1177,-329.588,-1423.659,129.4857,-477.3042,-1308.756,78.73412,-497.4817,-1255.893,,,,,,,,,,,,
2015-01-23 13:05:04.089,40.93028,185.4551,-1477.157,48.88039,0.5908436,-1524.113,-111.0112,-85.70897,-1525.65,-145.2419,-306.1553,-1458.34,-73.68137,-456.5825,-1340.688,-56.42312,-485.2009,-1266.3,199.0964,-95.33657,-1488.74,210.409,-329.2904,-1423.879,129.8438,-477.1999,-1309.144,78.96079,-497.1678,-1256.311,,,,,,,,,,,,
2015-01-23 13:05:04.164,40.56431,185.917,-1477.416,48.89436,0.6451204,-1524.115,-111.2292,-85.64192,-1525.687,-145.2139,-306.2258,-1458.16,-73.0144,-456.4877,-1340.671,-56.46049,-485.7811,-1266.343,198.989,-95.15428,-1488.784,210.7319,-328.9196,-1423.941,130.2081,-477.258,-1309.749,79.54891,-497.5355,-1256.799,,,,,,,,,,,,
2015-01-23 13:05:04.242,39.86176,186.1201,-1477.285,48.59641,0.6651419,-1524.102,-111.5766,-85.65481,-1525.683,-145.2244,-306.2055,-1457.908,-72.57787,-456.5182,-1340.79,-56.96288,-486.5477,-1266.052,198.5782,-94.71478,-1488.655,210.4589,-328.6196,-1423.783,130.5085,-477.5965,-1310.059,80.05929,-497.6626,-1256.906,,,,,,,,,,,,
2015-01-23 13:05:04.317,38.26723,185.7911,-1476.666,47.92238,0.4060688,-1523.913,-112.5989,-85.55666,-1525.782,-145.1223,-306.4238,-1457.532,-72.0291,-456.8147,-1340.725,-56.69862,-487.3631,-1265.999,197.7948,-94.16764,-1488.015,209.5849,-328.5641,-1423.409,129.6318,-477.8563,-1310.036,75.19992,-494.7405,-1259.805,,,,,,,,,,,,
2015-01-23 13:05:04.404,36.77476,186.0337,-1476.184,47.52499,0.3243404,-1523.741,-113.5838,-85.62734,-1525.825,-145.1109,-306.462,-1457.342,-71.71427,-456.833,-1340.684,-55.28455,-487.5432,-1266.389,196.9567,-93.7336,-1486.938,209.2915,-327.7876,-1423.263,130.3596,-478.1342,-1310.603,75.61217,-494.2423,-1260.47,,,,,,,,,,,,
2015-01-23 13:05:04.496,35.35279,185.7707,-1475.352,46.23626,-0.2448016,-1522.945,-114.2679,-85.62161,-1525.586,-145.1299,-306.6959,-1457.011,-71.17767,-457.1081,-1340.805,-55.17878,-487.9877,-1266.384,196.0498,-93.34229,-1485.755,209.1658,-326.9521,-1423.058,131.3074,-478.6024,-1311.513,78.86028,-496.7353,-1259.597,,,,,,,,,,,,
2015-01-23 13:05:04.572,34.53176,185.7225,-1474.653,45.43093,-0.4531342,-1522.337,-114.753,-85.48883,-1525.257,-145.1474,-307.1138,-1456.477,-70.74104,-457.6782,-1340.823,-55.10081,-488.2308,-1266.457,195.3005,-93.01921,-1484.599,209.0219,-326.4605,-1422.781,131.6562,-478.5588,-1311.547,79.06188,-495.8344,-1259.482,,,,,,,,,,,,
2015-01-23 13:05:04.646,33.89111,185.356,-1473.723,44.98327,-0.668503,-1521.868,-115.2409,-85.58936,-1524.851,-145.1347,-307.4034,-1456.07,-70.82063,-458.357,-1340.927,-53.29135,-488.588,-1265.976,194.7706,-92.91521,-1483.662,208.931,-326.1549,-1422.421,130.723,-477.6609,-1310.966,82.64977,-489.7589,-1263.454,,,,,,,,,,,,
2015-01-23 13:05:04.741,33.11624,184.9458,-1472.358,44.17274,-0.7686753,-1521.037,-116.0009,-85.80524,-1523.88,-145.1096,-307.7292,-1455.532,-70.57742,-458.9806,-1340.992,-53.82762,-488.8117,-1266.112,194.2889,-92.71357,-1482.654,208.4665,-326.0613,-1421.825,130.6265,-477.3175,-1309.734,83.93793,-489.8898,-1263.904,,,,,,,,,,,,
2015-01-23 13:05:04.846,32.63912,185.1494,-1471.652,43.62799,-0.8590636,-1520.306,-116.6944,-85.93477,-1522.868,-145.056,-308.0364,-1455.147,-70.31198,-459.4294,-1340.983,-54.05025,-489.0485,-1266.189,193.6719,-92.54711,-1481.547,208.2117,-326.107,-1421.348,131.0681,-477.5582,-1309.036,84.62111,-489.9165,-1264.129,,,,,,,,,,,,
2015-01-23 13:05:04.995,32.10736,184.9515,-1470.876,43.29733,-0.7833934,-1519.461,-117.3243,-86.16226,-1522.049,-144.9804,-308.488,-1454.716,-70.27079,-460.1604,-1340.952,-54.32004,-489.2449,-1266.323,193.3806,-92.55608,-1480.906,208.0956,-326.1185,-1420.858,130.9182,-477.4415,-1308.4,84.81927,-489.9682,-1264.291,,,,,,,,,,,,
2015-01-23 13:05:05.099,30.66875,184.2156,-1469.382,42.85476,-0.9275993,-1518.105,-118.3803,-86.87466,-1520.938,-145.1876,-308.9509,-1454.414,-70.27667,-460.7032,-1340.962,-51.64806,-489.6024,-1265.136,192.8436,-92.11469,-1480.212,207.9698,-325.9099,-1420.544,131.4733,-478.5799,-1309.638,71.94709,-491.941,-1261.297,,,,,,,,,,,,
2015-01-23 13:05:05.192,28.12996,184.5255,-1467.405,41.98479,-0.7537907,-1516.451,-119.5229,-87.24118,-1520.042,-145.8138,-309.3909,-1454.026,-70.21607,-461.179,-1341.161,-46.65129,-489.3768,-1263.384,192.0209,-91.94961,-1479.503,207.4699,-325.6218,-1420.164,131.2507,-478.651,-1309.627,71.69732,-491.8824,-1261.532,,,,,,,,,,,,
2015-01-23 13:05:05.266,25.94028,183.979,-1465.662,41.27735,-0.7662296,-1514.946,-120.4637,-87.5017,-1519.332,-146.233,-309.8384,-1453.641,-60.49821,-453.2983,-1336.858,-44.12817,-489.2725,-1262.65,190.8577,-91.47021,-1478.635,206.1182,-325.4919,-1419.302,130.3124,-478.9298,-1309.091,70.88448,-492.2365,-1260.95,,,,,,,,,,,,
2015-01-23 13:05:05.338,23.61457,183.0837,-1463.665,39.8899,-1.344709,-1513.165,-122.4347,-88.44193,-1517.9,-146.5484,-310.7987,-1453.052,-64.47842,-458.2307,-1338.849,-42.38325,-489.3206,-1262.212,189.3429,-91.13058,-1477.466,205.6522,-325.3358,-1418.959,129.4144,-478.6956,-1308.972,70.74722,-492.42,-1260.175,,,,,,,,,,,,
2015-01-23 13:05:05.440,20.13997,181.3692,-1459.26,37.27412,-3.241626,-1509.909,-124.6643,-89.81747,-1515.669,-147.3012,-312.3755,-1452.313,-115.9818,-492.5751,-1365.734,-41.28229,-489.3394,-1261.816,187.0977,-90.64259,-1475.543,204.9579,-324.8911,-1418.221,124.7032,-475.3512,-1307.007,66.48685,-488.9996,-1257.772,,,,,,,,,,,,
2015-01-23 13:05:05.520,16.25077,178.1636,-1452.138,33.80225,-5.563795,-1505.546,-127.5764,-91.8035,-1512.313,-148.817,-313.1183,-1451.802,-50.23027,-447.333,-1334.261,-40.82893,-489.3494,-1261.702,184.1192,-91.2128,-1472.52,203.7557,-324.8827,-1417.101,123.9492,-476.3749,-1307.214,65.61482,-488.3047,-1257.227,,,,,,,,,,,,
2015-01-23 13:05:05.600,15.01554,176.7194,-1445.629,31.7889,-6.585329,-1502.099,-129.8266,-92.85233,-1507.494,-150.1742,-313.3006,-1451.266,-66.05005,-464.1031,-1344.079,-40.95637,-488.8942,-1262.33,182.4701,-91.0309,-1470.983,202.5655,-324.6162,-1416.892,116.3128,-475.6607,-1302.552,58.79231,-488.8489,-1251.965,,,,,,,,,,,,
2015-01-23 13:05:05.672,16.06959,178.2798,-1438.359,29.46741,-6.454164,-1497.96,-131.9589,-89.73664,-1499.914,-153.2476,-312.2883,-1449.043,-120.5321,-493.972,-1367.326,-41.16985,-488.2181,-1265.316,181.6292,-90.6353,-1470.425,201.1499,-322.9872,-1419.216,116.537,-473.2501,-1305.05,58.69373,-488.0251,-1255.128,,,,,,,,,,,,
